Nom gare,Code Gare,Type jour,Date de comptage,Ligne,Tranche horaire,Montants
Noisy le Sec,87113217,JOB,2012-09-13,E,De 16h à 20h,6607
Noisy le Sec,87113217,Samedi,2012-09-22,E,De 16h à 20h,5507
Noisy le Sec,87113217,JOB,2012-09-13,E,De 10h à 16h,6492
Noisy le Sec,87113217,Samedi,2012-09-22,E,De 10h à 16h,7590
Noisy le Sec,87113217,JOB,2012-09-13,E,De 6h à 10h,9213
Noisy le Sec,87113217,Dimanche,2012-09-23,E,Avant 6h,143
Noisy le Sec,87113217,JOB,2012-09-13,E,Avant 6h,560
Noisy le Sec,87113217,Dimanche,2012-09-23,E,De 16h à 20h,4088
Noisy le Sec,87113217,Dimanche,2012-09-23,E,De 6h à 10h,1681
Noisy le Sec,87113217,Samedi,2012-09-22,E,De 6h à 10h,3402
Noisy le Sec,87113217,Samedi,2012-09-22,E,Avant 6h,239
Ozoir la Ferrière,87116020,Samedi,2012-09-22,E,De 16h à 20h,404
Ozoir la Ferrière,87116020,Samedi,2012-09-22,E,De 6h à 10h,394
Ozoir la Ferrière,87116020,JOB,2012-09-13,E,De 10h à 16h,685
Ozoir la Ferrière,87116020,Samedi,2012-09-22,E,Après 20h,135
Ozoir la Ferrière,87116020,Samedi,2012-09-22,E,Avant 6h,44
Ozoir la Ferrière,87116020,Dimanche,2012-09-23,E,De 16h à 20h,360
Ozoir la Ferrière,87116020,Dimanche,2012-09-23,E,De 6h à 10h,139
Ozoir la Ferrière,87116020,JOB,2012-09-13,E,De 16h à 20h,582
Ozoir la Ferrière,87116020,Dimanche,2012-09-23,E,De 10h à 16h,599
Ozoir la Ferrière,87116020,Dimanche,2012-09-23,E,Après 20h,106
Ozoir la Ferrière,87116020,Dimanche,2012-09-23,E,Avant 6h,22
Ozoir la Ferrière,87116020,JOB,2012-09-13,E,Après 20h,102
Ozoir la Ferrière,87116020,Samedi,2012-09-22,E,De 10h à 16h,702
Ozoir la Ferrière,87116020,JOB,2012-09-13,E,De 6h à 10h,2510
Ozoir la Ferrière,87116020,JOB,2012-09-13,E,Avant 6h,89
Pantin,87113209,Dimanche,2012-09-23,E,De 6h à 10h,641
Pantin,87113209,JOB,2012-09-13,E,De 16h à 20h,6969
Pantin,87113209,JOB,2012-09-13,E,Avant 6h,194
Pantin,87113209,Dimanche,2012-09-23,E,De 16h à 20h,1748
Pantin,87113209,Samedi,2012-09-22,E,Avant 6h,125
Pantin,87113209,Dimanche,2012-09-23,E,Après 20h,920
Pantin,87113209,Samedi,2012-09-22,E,De 10h à 16h,2926
Pantin,87113209,Samedi,2012-09-22,E,De 6h à 10h,1427
Pantin,87113209,JOB,2012-09-13,E,De 10h à 16h,2872
Pantin,87113209,JOB,2012-09-13,E,De 6h à 10h,3517
Pantin,87113209,Dimanche,2012-09-23,E,Avant 6h,61
Pantin,87113209,Dimanche,2012-09-23,E,De 10h à 16h,2155
Pantin,87113209,JOB,2012-09-13,E,Après 20h,1490
Pantin,87113209,Samedi,2012-09-22,E,De 16h à 20h,2393
Pantin,87113209,Samedi,2012-09-22,E,Après 20h,1216
Roissy en Brie,87116038,JOB,2012-09-13,E,De 10h à 16h,1108
Roissy en Brie,87116038,Samedi,2012-09-22,E,De 10h à 16h,1473
Roissy en Brie,87116038,Samedi,2012-09-22,E,Avant 6h,103
Roissy en Brie,87116038,Samedi,2012-09-22,E,De 6h à 10h,616
Roissy en Brie,87116038,Samedi,2012-09-22,E,Après 20h,283
Roissy en Brie,87116038,Dimanche,2012-09-23,E,Avant 6h,28
Roissy en Brie,87116038,JOB,2012-09-13,E,De 6h à 10h,3101
Roissy en Brie,87116038,Dimanche,2012-09-23,E,De 10h à 16h,1052
Roissy en Brie,87116038,Dimanche,2012-09-23,E,De 16h à 20h,597
Roissy en Brie,87116038,Dimanche,2012-09-23,E,De 6h à 10h,335
Roissy en Brie,87116038,Samedi,2012-09-22,E,De 16h à 20h,697
Roissy en Brie,87116038,JOB,2012-09-13,E,De 16h à 20h,810
Roissy en Brie,87116038,Dimanche,2012-09-23,E,Après 20h,306
Roissy en Brie,87116038,JOB,2012-09-13,E,Avant 6h,71
Roissy en Brie,87116038,JOB,2012-09-13,E,Après 20h,159
Rosny Bois Perrier,87113696,JOB,2012-09-13,E,Avant 6h,177
Rosny Bois Perrier,87113696,Samedi,2012-09-22,E,De 10h à 16h,3446
Rosny Bois Perrier,87113696,Samedi,2012-09-22,E,Après 20h,1662
Rosny Bois Perrier,87113696,Dimanche,2012-09-23,E,De 10h à 16h,1661
Rosny Bois Perrier,87113696,JOB,2012-09-13,E,De 16h à 20h,2761
Rosny Bois Perrier,87113696,Dimanche,2012-09-23,E,De 16h à 20h,1567
Rosny Bois Perrier,87113696,Samedi,2012-09-22,E,De 6h à 10h,897
Rosny Bois Perrier,87113696,Dimanche,2012-09-23,E,Après 20h,653
Rosny Bois Perrier,87113696,JOB,2012-09-13,E,De 6h à 10h,2918
Rosny Bois Perrier,87113696,Samedi,2012-09-22,E,Avant 6h,83
Rosny Bois Perrier,87113696,Dimanche,2012-09-23,E,De 6h à 10h,440
Rosny Bois Perrier,87113696,JOB,2012-09-13,E,Après 20h,1033
Rosny Bois Perrier,87113696,Samedi,2012-09-22,E,De 16h à 20h,4091
Rosny Bois Perrier,87113696,Dimanche,2012-09-23,E,Avant 6h,35
Rosny Bois Perrier,87113696,JOB,2012-09-13,E,De 10h à 16h,2594
Rosny sous Bois,87113704,Dimanche,2012-09-23,E,De 16h à 20h,1069
Rosny sous Bois,87113704,Samedi,2012-09-22,E,De 10h à 16h,2429
Rosny sous Bois,87113704,JOB,2012-09-13,E,De 16h à 20h,1507
Rosny sous Bois,87113704,Samedi,2012-09-22,E,De 16h à 20h,1394
Rosny sous Bois,87113704,Samedi,2012-09-22,E,Après 20h,635
Rosny sous Bois,87113704,Samedi,2012-09-22,E,Avant 6h,111
Rosny sous Bois,87113704,JOB,2012-09-13,E,Après 20h,361
Rosny sous Bois,87113704,Dimanche,2012-09-23,E,De 10h à 16h,1694
Rosny sous Bois,87113704,Dimanche,2012-09-23,E,De 6h à 10h,531
Rosny sous Bois,87113704,Dimanche,2012-09-23,E,Avant 6h,45
Rosny sous Bois,87113704,JOB,2012-09-13,E,Avant 6h,182
Rosny sous Bois,87113704,JOB,2012-09-13,E,De 6h à 10h,3979
Rosny sous Bois,87113704,Dimanche,2012-09-23,E,Après 20h,441
Rosny sous Bois,87113704,Samedi,2012-09-22,E,De 6h à 10h,1131
Rosny sous Bois,87113704,JOB,2012-09-13,E,De 10h à 16h,1846
Tournan,87116210,Dimanche,2012-09-23,E,De 10h à 16h,276
Tournan,87116210,Dimanche,2012-09-23,E,De 6h à 10h,103
Tournan,87116210,Dimanche,2012-09-23,E,Après 20h,53
Tournan,87116210,Dimanche,2012-09-23,E,Avant 6h,21
Tournan,87116210,Samedi,2012-09-22,E,Avant 6h,52
Tournan,87116210,JOB,2012-09-13,E,Avant 6h,124
Tournan,87116210,Dimanche,2012-09-23,E,De 16h à 20h,232
Tournan,87116210,Samedi,2012-09-22,E,De 10h à 16h,422
Tournan,87116210,JOB,2012-09-13,E,De 10h à 16h,466
Tournan,87116210,JOB,2012-09-13,E,De 16h à 20h,504
Tournan,87116210,Samedi,2012-09-22,E,Après 20h,77
Tournan,87116210,JOB,2012-09-13,E,Après 20h,54
Tournan,87116210,Samedi,2012-09-22,E,De 16h à 20h,337
Tournan,87116210,Samedi,2012-09-22,E,De 6h à 10h,246
Tournan,87116210,JOB,2012-09-13,E,De 6h à 10h,1350
Val de Fontenay,87113712,Samedi,2012-09-22,E,De 6h à 10h,1551
Val de Fontenay,87113712,Dimanche,2012-09-23,E,Avant 6h,38
Val de Fontenay,87113712,Dimanche,2012-09-23,E,De 16h à 20h,2954
Val de Fontenay,87113712,JOB,2012-09-13,E,Après 20h,3133
Val de Fontenay,87113712,JOB,2012-09-13,E,De 16h à 20h,13225
Val de Fontenay,87113712,JOB,2012-09-13,E,De 6h à 10h,7838
Val de Fontenay,87113712,Dimanche,2012-09-23,E,De 6h à 10h,866
Val de Fontenay,87113712,Dimanche,2012-09-23,E,Après 20h,1676
Val de Fontenay,87113712,Dimanche,2012-09-23,E,De 10h à 16h,3274
Val de Fontenay,87113712,Samedi,2012-09-22,E,De 16h à 20h,5044
Val de Fontenay,87113712,JOB,2012-09-13,E,Avant 6h,160
Val de Fontenay,87113712,Samedi,2012-09-22,E,Après 20h,2830
Val de Fontenay,87113712,Samedi,2012-09-22,E,Avant 6h,120
Val de Fontenay,87113712,Samedi,2012-09-22,E,De 10h à 16h,5141
Val de Fontenay,87113712,JOB,2012-09-13,E,De 10h à 16h,4698
Villiers sur Marne Le Plessis Trévise,87113795,Samedi,2012-09-22,E,De 16h à 20h,2174
Villiers sur Marne Le Plessis Trévise,87113795,Dimanche,2012-09-23,E,Avant 6h,60
Villiers sur Marne Le Plessis Trévise,87113795,Samedi,2012-09-22,E,Avant 6h,175
Villiers sur Marne Le Plessis Trévise,87113795,JOB,2012-09-13,E,Après 20h,558
Villiers sur Marne Le Plessis Trévise,87113795,JOB,2012-09-13,E,Avant 6h,384
Villiers sur Marne Le Plessis Trévise,87113795,Samedi,2012-09-22,E,De 10h à 16h,3548
Villiers sur Marne Le Plessis Trévise,87113795,Dimanche,2012-09-23,E,Après 20h,557
Villiers sur Marne Le Plessis Trévise,87113795,Dimanche,2012-09-23,E,De 10h à 16h,2465
Villiers sur Marne Le Plessis Trévise,87113795,Dimanche,2012-09-23,E,De 16h à 20h,1610
Villiers sur Marne Le Plessis Trévise,87113795,JOB,2012-09-13,E,De 6h à 10h,8186
Villiers sur Marne Le Plessis Trévise,87113795,Dimanche,2012-09-23,E,De 6h à 10h,687
Villiers sur Marne Le Plessis Trévise,87113795,Samedi,2012-09-22,E,De 6h à 10h,1560
Villiers sur Marne Le Plessis Trévise,87113795,JOB,2012-09-13,E,De 10h à 16h,2691
Villiers sur Marne Le Plessis Trévise,87113795,JOB,2012-09-13,E,De 16h à 20h,2150
Villiers sur Marne Le Plessis Trévise,87113795,Samedi,2012-09-22,E,Après 20h,1064
